fecha_snapshot,marca_temporal_extraccion,id_producto,id_ubicacion,precio,precio_referencia,cantidad_unidad,formato_cantidad,es_novedad,disponible
2026-05-27,2026-05-27T13:26:58.355193+00:00,10005,valencia_46001,2.45,2.45,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10043,valencia_46001,2.3,1.92,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10050,valencia_46001,1.55,1.29,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10051,valencia_46001,1.55,1.29,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10054,valencia_46001,1.55,1.29,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10055,valencia_46001,1.75,1.46,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10066,valencia_46001,2.85,3.79,0.752,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10106,valencia_46001,1.5,1.25,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10117,valencia_46001,1.3,6.6,0.197,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10126,valencia_46001,2.52,2.1,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10146,valencia_46001,10.14,1.69,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10161,valencia_46001,1.55,3.1,0.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10199,valencia_46001,1.85,3.08,0.6,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10275,valencia_46001,2.25,3.75,0.6,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10276,valencia_46001,1.95,3.9,0.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10281,valencia_46001,10.14,1.69,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10282,valencia_46001,1.69,1.69,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10286,valencia_46001,2.71,6.3,0.43,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10320,valencia_46001,2.4,4.0,0.6,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10346,valencia_46001,2.25,3.0,0.75,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10350,valencia_46001,3.8,0.19,0.104,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10352,valencia_46001,3.8,0.19,0.104,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10355,valencia_46001,3.85,0.19,0.104,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10362,valencia_46001,2.52,2.55,0.99,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10376,valencia_46001,1.1,5.5,0.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10379,valencia_46001,5.76,0.96,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10380,valencia_46001,0.96,0.96,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10381,valencia_46001,5.04,0.84,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10382,valencia_46001,0.84,0.84,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10383,valencia_46001,4.92,0.82,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10384,valencia_46001,0.82,0.82,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10414,valencia_46001,5.4,7.71,0.7,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10449,valencia_46001,1.4,7.0,0.2,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10453,valencia_46001,3.1,11.07,0.28,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10459,valencia_46001,1.95,7.8,0.25,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10467,valencia_46001,2.9,10.36,0.28,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10502,valencia_46001,1.85,1.23,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10504,valencia_46001,11.94,1.33,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10505,valencia_46001,11.1,1.23,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10506,valencia_46001,1.99,1.33,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10516,valencia_46001,10.74,1.19,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10530,valencia_46001,7.74,1.29,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10531,valencia_46001,7.02,1.17,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10532,valencia_46001,6.78,1.13,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10533,valencia_46001,9.36,1.04,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10540,valencia_46001,1.56,1.04,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10541,valencia_46001,9.0,1.0,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10542,valencia_46001,1.5,1.0,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10543,valencia_46001,8.82,0.98,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10544,valencia_46001,1.47,0.98,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10545,valencia_46001,9.72,1.08,9.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10546,valencia_46001,1.62,1.08,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10599,valencia_46001,1.79,1.19,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10617,valencia_46001,1.29,1.29,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10642,valencia_46001,0.85,3.4,0.25,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10644,valencia_46001,0.85,3.4,0.25,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10666,valencia_46001,0.85,3.4,0.25,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10672,valencia_46001,0.85,3.4,0.25,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10676,valencia_46001,8.1,1.35,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10678,valencia_46001,1.35,1.35,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10683,valencia_46001,6.3,1.05,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10685,valencia_46001,1.05,1.05,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10686,valencia_46001,6.12,1.02,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10687,valencia_46001,1.02,1.02,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10688,valencia_46001,0.9,3.6,0.25,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10698,valencia_46001,6.18,1.03,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10699,valencia_46001,1.03,1.03,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10712,valencia_46001,1.17,1.17,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10721,valencia_46001,5.64,0.94,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10722,valencia_46001,0.94,0.94,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10723,valencia_46001,1.79,1.79,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10726,valencia_46001,10.74,1.79,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10730,valencia_46001,5.46,0.91,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10731,valencia_46001,0.91,0.91,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10732,valencia_46001,1.9,1.58,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10781,valencia_46001,1.89,1.89,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10783,valencia_46001,1.71,1.43,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10794,valencia_46001,1.64,1.37,1.2,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10801,valencia_46001,1.13,1.13,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10806,valencia_46001,11.82,1.97,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10812,valencia_46001,1.97,1.97,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10814,valencia_46001,7.8,1.3,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10820,valencia_46001,11.34,1.89,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10826,valencia_46001,1.3,1.3,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10845,valencia_46001,7.02,1.17,6.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10846,valencia_46001,1.17,1.17,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10884,valencia_46001,1.69,1.69,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10922,valencia_46001,1.09,1.09,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,10933,valencia_46001,1.15,1.15,1.0,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11021,valencia_46001,6.8,13.6,0.5,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11049,valencia_46001,1.1,55.0,0.02,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11051,valencia_46001,1.2,60.0,0.02,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11097,valencia_46001,1.0,0.67,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11101,valencia_46001,7.45,37.25,0.2,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11104,valencia_46001,5.4,54.0,0.1,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11111,valencia_46001,5.4,54.0,0.1,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11123,valencia_46001,2.9,36.25,0.08,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11136,valencia_46001,7.45,37.25,0.2,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11168,valencia_46001,0.65,24.07,0.027,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11171,valencia_46001,2.5,10.0,0.25,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11172,valencia_46001,2.5,10.0,0.25,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11175,valencia_46001,1.35,33.75,0.04,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11178,valencia_46001,4.5,9.0,0.5,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11187,valencia_46001,2.15,14.33,0.15,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11307,valencia_46001,1.5,41.67,0.036,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11319,valencia_46001,1.5,41.67,0.036,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11400,valencia_46001,1.35,33.75,0.04,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11408,valencia_46001,1.05,35.0,0.03,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11415,valencia_46001,1.4,46.67,0.03,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11427,valencia_46001,1.05,35.0,0.03,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11430,valencia_46001,0.85,32.69,0.026,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11431,valencia_46001,0.85,35.42,0.024,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11433,valencia_46001,1.15,28.75,0.04,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11438,valencia_46001,1.35,39.71,0.034,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11447,valencia_46001,1.05,35.0,0.03,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11453,valencia_46001,1.05,43.75,0.024,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11454,valencia_46001,1.15,44.23,0.026,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11468,valencia_46001,1.05,26.25,0.04,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11470,valencia_46001,1.05,35.0,0.03,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11489,valencia_46001,1.6,64.0,0.025,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11507,valencia_46001,2.5,20.0,0.125,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11509,valencia_46001,1.0,0.67,1.5,l,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11511,valencia_46001,2.5,12.5,0.2,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11513,valencia_46001,1.7,5.67,0.3,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11516,valencia_46001,2.6,8.67,0.3,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11521,valencia_46001,1.7,9.44,1.8,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11522,valencia_46001,1.0,10.0,0.1,kg,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11523,valencia_46001,1.4,0.14,1.0,ud,,True
2026-05-27,2026-05-27T13:26:58.355193+00:00,11529,valencia_46001,1.25,1.25,1.0,ud,,True
