id_producto,producto,slug,marca,formato_envase,unidad_venta,url_imagen,url_producto,id_seccion,seccion,id_categoria,categoria,porcentaje_iva
10000,Medio pollo certificado troceado alimentado con un 50% de maíz,medio-pollo-certificado-troceado-alimentado-con-50-maiz-bandeja,,Bandeja,"Bandeja 0,95 kg",https://prod-mercadona.imgix.net/images/c025a22fe9606f18cdae53cf43eab71d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10000/medio-pollo-certificado-troceado-alimentado-con-50-maiz-bandeja,3,Carne,38,Aves y pollo,10.0
10004,Batido de cacao Cacaolat,batido-cacao-cacaolat-botella,,Botella,Botella 1 l,https://prod-mercadona.imgix.net/images/5e3aaca2bf05299cd779286826b733b7.jpeg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10004/batido-cacao-cacaolat-botella,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10005,Chocolate líquido a la taza Hacendado,chocolate-liquido-taza-hacendado-brick,,Brik,Brik 1 l,https://prod-mercadona.imgix.net/images/ba0a4a3958ff462e8b171ef08f6dce66.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10005/chocolate-liquido-taza-hacendado-brick,8,"Cacao, café e infusiones",86,Cacao soluble y chocolate a la taza,10.0
10043,Batido de chocolate 90% leche Puleva,batido-chocolate-90-leche-puleva-pack-6,,Pack-6,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/118b04b2870df73a19605a8987545455.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10043/batido-chocolate-90-leche-puleva-pack-6,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10050,Batido de chocolate Hacendado,batido-chocolate-hacendado-pack-6,,Pack-6,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/3cea02fc6511b13003b8cd6ed8fc1f1e.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10050/batido-chocolate-hacendado-pack-6,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10051,Batido de vainilla Hacendado,batido-vainilla-hacendado-pack-6,,Pack-6,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/d1c4c39d1715c4381e6b68e9891a3d51.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10051/batido-vainilla-hacendado-pack-6,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10054,Batido sabor fresa Hacendado,batido-sabor-fresa-hacendado-pack-6,,Pack-6,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/76eee68e2813738c601b5a91d0f94cb1.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10054/batido-sabor-fresa-hacendado-pack-6,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10055,Batido de chocolate 90% leche Hacendado,batido-chocolate-90-leche-hacendado-pack-6,,Pack-6,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/a1f0f20dfd294022344acb43427d9a18.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10055/batido-chocolate-90-leche-hacendado-pack-6,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10066,Batido de chocolate ColaCao Energy,batido-chocolate-colacao-energy-pack-4,,Pack-4,"4 mini botellas x 0,188 l",https://prod-mercadona.imgix.net/images/d36c059698f391403d40182123245a0d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10066/batido-chocolate-colacao-energy-pack-4,6,"Huevos, leche y mantequilla",72,Leche y bebidas vegetales,10.0
10106,Fruta + leche caribe Don Simón sin azúcares añadidos y zero materia grasa,fruta-leche-caribe-don-simon-sin-azucares-anadidos-zero-materia-grasa-pack-6,,,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/c7c2026bd60cbd318c47a8ee8b6ae2de.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10106/fruta-leche-caribe-don-simon-sin-azucares-anadidos-zero-materia-grasa-pack-6,10,Zumos,99,Fruta variada,21.0
10117,Nata fresca para cocinar Hacendado,nata-fresca-cocinar-hacendado-tarrina,,Tarrina,"Tarrina 0,197 kg",https://prod-mercadona.imgix.net/images/108f4b61a8ddeca7146ea3cf0622921d.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10117/nata-fresca-cocinar-hacendado-tarrina,6,"Huevos, leche y mantequilla",75,Mantequilla y margarina,10.0
10126,Fruta + leche tropical Bifrutas,fruta-leche-tropical-bifrutas-pascual-pack-6,,,"6 mini briks x 0,2 l",https://prod-mercadona.imgix.net/images/912f8849edb89e0c43b0c89b63a1f1c1.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/10126/fruta-leche-tropical-bifrutas-pascual-pack-6,10,Zumos,99,Fruta variada,21.0
